text,category
กินข้าวแกงหน้าปากซอย,อาหารและเครื่องดื่ม
ชานมไข่มุกหวานน้อย,อาหารและเครื่องดื่ม
สั่งแกร็บไก่ทอด,อาหารและเครื่องดื่ม
จ่ายตลาดซื้อหมูสดผักสด,อาหารและเครื่องดื่ม
หารค่าหมูกระทะกับเพื่อน,อาหารและเครื่องดื่ม
กาแฟอเมซอน,อาหารและเครื่องดื่ม
ซื้อน้ำเปล่าเซเว่น,อาหารและเครื่องดื่ม
บุฟเฟ่ต์แซลมอน,อาหารและเครื่องดื่ม
ค่าเบียร์นั่งชิลร้านเหล้า,อาหารและเครื่องดื่ม
มาม่าคัพ,อาหารและเครื่องดื่ม
ซื้อข้าวสารเข้าบ้าน,อาหารและเครื่องดื่ม
กินข้าวโรงอาหาร,อาหารและเครื่องดื่ม
ข้าวมันไก่พิเศษ,อาหารและเครื่องดื่ม
ก๋วยเตี๋ยวเรือน้ำตก,อาหารและเครื่องดื่ม
ข้าวกะเพราหมูกรอบไข่ดาว,อาหารและเครื่องดื่ม
ส้มตำไก่ย่าง,อาหารและเครื่องดื่ม
ข้าวไข่เจียวหมูสับ,อาหารและเครื่องดื่ม
ซื้อข้าวกล่อง,อาหารและเครื่องดื่ม
โจ๊กหมูใส่ไข่,อาหารและเครื่องดื่ม
ข้าวเหนียวไก่ทอด,อาหารและเครื่องดื่ม
ผัดไทยกุ้งสด,อาหารและเครื่องดื่ม
ข้าวซอยไก่,อาหารและเครื่องดื่ม
กาแฟอเมซอนตอนเช้า,อาหารและเครื่องดื่ม
ชาไทยเย็น,อาหารและเครื่องดื่ม
น้ำอัดลม,อาหารและเครื่องดื่ม
สตาร์บัคส์,อาหารและเครื่องดื่ม
อเมริกาโน่ไม่หวาน,อาหารและเครื่องดื่ม
ซื้อน้ำดื่มแพ็ค,อาหารและเครื่องดื่ม
ชาไข่มุก,อาหารและเครื่องดื่ม
กดตู้เต่าบิน,อาหารและเครื่องดื่ม
ซื้อกาแฟเลี้ยงหมวด,อาหารและเครื่องดื่ม
สปอนเซอร์,อาหารและเครื่องดื่ม
ชาเขียวปั่น,อาหารและเครื่องดื่ม
ซื้อขนมปัง,อาหารและเครื่องดื่ม
เค้กวันเกิด,อาหารและเครื่องดื่ม
ไอติมไผ่ทอง,อาหารและเครื่องดื่ม
โรตีสายไหม,อาหารและเครื่องดื่ม
ลูกชิ้นทอดหน้าปากซอย,อาหารและเครื่องดื่ม
ซื้อเลย์กับโค้ก,อาหารและเครื่องดื่ม
ผลไม้รถเข็น,อาหารและเครื่องดื่ม
เลี้ยงขนมนักเรียน,อาหารและเครื่องดื่ม
ขนมครก,อาหารและเครื่องดื่ม
